title,label,label_encoder,cleaned_text
You Can Smell Hillary’s Fear,FAKE,0,smell hillary fear
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),FAKE,0,watch exact moment paul ryan commit political suicide trump rally video
Kerry to go to Paris in gesture of sympathy,REAL,1,kerry paris gesture sympathy
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',FAKE,0,bernie supporters twitter erupt anger dnc try warn
The Battle of New York: Why This Primary Matters,REAL,1,battle new york primary matter
"Tehran, USA",FAKE,0,tehran usa
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,FAKE,0,girl horrify watch boyfriend leave facetime
‘Britain’s Schindler’ Dies at 106,REAL,1,britain schindler die 106
Fact check: Trump and Clinton at the 'commander-in-chief' forum,REAL,1,fact check trump clinton commander chief forum
Iran reportedly makes new push for uranium concessions in nuclear talks,REAL,1,iran reportedly make new push uranium concessions nuclear talk
"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",REAL,1,three clintons iowa glimpse fire elude hillary clinton campaign
Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,REAL,1,donald trump shockingly weak delegate game somehow get even worse
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",FAKE,0,strong solar storm tech risk today news oct 2016 video
10 Ways America Is Preparing for World War 3,FAKE,0,ways america prepare world war
"Trump takes on Cruz, but lightly",REAL,1,trump take cruz lightly
How women lead differently,REAL,1,women lead differently
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,FAKE,0,shock michele obama hillary catch glamorize date rape promoters
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,FAKE,0,hillary clinton huge trouble america notice sick thing hide picture liberty writers news
What's in that Iran bill that Obama doesn't like?,REAL,1,iran bill obama like
The 1 chart that explains everything you need to know about partisanship in America,REAL,1,chart explain everything need know partisanship america
The slippery slope to Trump’s proposed ban on Muslims,REAL,1,slippery slope trump propose ban muslims
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,FAKE,0,episode 160 sunday wire hail deplorables special guest randy
Hillary Clinton Makes A Bipartisan Appeal on Staten Island,REAL,1,hillary clinton make bipartisan appeal staten island
New Senate majority leader’s main goal for GOP: Don’t be scary,REAL,1,new senate majority leader main goal gop scary
‘Inferno’ and the Overpopulation Myth,FAKE,0,inferno overpopulation myth
Anti-Trump forces seek last-ditch delegate revolt,REAL,1,anti trump force seek last ditch delegate revolt
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,REAL,1,sanders trounce clinton make difference
Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,REAL,1,donald trump change campaign slogan prove racist
Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),REAL,1,pure chaos donald trump campaign management offer glimpse govern style spoiler alert terrible
"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",FAKE,0,syrian war report november 2016 syrian military deploy advance battle tank aleppo
GOP insiders: Carly crushed it,REAL,1,gop insiders carly crush
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],FAKE,0,jeffrey sewell metabiology face face artificial intelligence video
Why It’s Necessary To Relax Into A Stretch,FAKE,0,necessary relax stretch
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",FAKE,0,brexit encourage trade non state include russia
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",FAKE,0,2016 interview socrates another day life empire near endgame fool ever hope change
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,FAKE,0,mike pence drape shawl immodest lady justice statue onion america finest news source
First Ever Hindu Woman Elected into Congress,FAKE,0,first ever hindu woman elect congress
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,FAKE,0,donald grope hillary 2005 trump weiner sext
Ex-Assistant FBI Director: Clintons Are a Crime Family,FAKE,0,assistant fbi director clintons crime family
Hillary Wants Aggressively Interventionist Foreign Policy,FAKE,0,hillary want aggressively interventionist foreign policy
Both parties want to craft populist messages for 2016,REAL,1,party want craft populist message 2016
First Take: Wall Street bids goodbye to June hike,REAL,1,first take wall street bid goodbye june hike
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,FAKE,0,real disclosure secret alien base find moon tycho crater
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,FAKE,0,homeless woman protect trump walk fame star violent leftists
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",REAL,1,tweet storm saturday clinton continue mock trump friday meltdown
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,FAKE,0,220 significant pipeline spill already year expose trouble safety record
Obama makes the right call to tough it out in Afghanistan,REAL,1,obama make right call tough afghanistan
Senate race rankings: Dems attack as GOP lays swing-state groundwork,REAL,1,senate race rank dems attack gop lay swing state groundwork
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,FAKE,0,know boy want rap court throw muslim migrant child sex charge germans shock
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,FAKE,0,pieczenik rogue fbi agents wikileaks spearhead movement stop clintons steal white house truthfeed
American politics has reached peak polarization,REAL,1,american politics reach peak polarization
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),REAL,1,anti muhammad cartoon contest free speech deliberately provocative video
"3 Effects of Substance Abuse on Individual, Family and Community",FAKE,0,effect substance abuse individual family community
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,FAKE,0,tree shape vertical farm grow acres urban crop
New Comment Features have been Added,FAKE,0,new comment feature add
World's newspapers react to 'Hebdo' attack,REAL,1,world newspapers react hebdo attack
Ying and Yang (the Gold and Silver Set-Up),FAKE,0,ying yang gold silver set
"Closed primaries, 'warped' democracy?",REAL,1,close primaries warp democracy
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,FAKE,0,police turn badge rather incite violence stand rock protestors
Donald Trump: Hillary Clinton has 'caused tremendous death',REAL,1,donald trump hillary clinton cause tremendous death
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,FAKE,0,detroit women halloween decorations depict real life horrors shoot police police
Biden makes another surprise political stop,REAL,1,biden make another surprise political stop
"Hillary Clinton's declining favorability numbers, in context",REAL,1,hillary clinton decline favorability number context
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,FAKE,0,comment quid pro quo wikileaks email reveal clinton campaign eye paul ryan relative supreme court lenore lee
Hillary Clinton: The criminal investigation keeps moving forward,REAL,1,hillary clinton criminal investigation keep move forward
Rubio’s parting shot at Trump,REAL,1,rubio part shoot trump
Loretta Lynch becomes first African-American woman AG.,REAL,1,loretta lynch become first african american woman
Why it's funny Republicans are upset with Facebook: Column,REAL,1,funny republicans upset facebook column
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,REAL,1,fbi check orlando shooter wife know attack plan warn police
Is google and YouTube in the Hillary's purse?,FAKE,0,google youtube hillary purse
Handicapping the Hispanic vote for 2016 GOPers,REAL,1,handicap hispanic vote 2016 gopers
Truth Will Out Radio: The Laconia Incident,FAKE,0,truth radio laconia incident
GOP establishment nightmare? Ted Cruz vs. Donald Trump,REAL,1,gop establishment nightmare ted cruz donald trump
Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,REAL,1,bernie sanders lose poor voters south carolina big margin problem political revolution
Should I Get Botox?,FAKE,0,get botox
Jeb Bush Picks Up Endorsement From Lindsey Graham,REAL,1,jeb bush pick endorsement lindsey graham
"2016 Republican race enters a new, volatile phase",REAL,1,2016 republican race enter new volatile phase
"‘Hands up, don’t shoot’ was built on a lie",REAL,1,hand shoot build lie
Lavrov and Kerry discuss Syrian settlement,FAKE,0,lavrov kerry discuss syrian settlement
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,FAKE,0,break doj say help review 650k email truthfeed
Bernie Sanders' call for ouster of two convention co-chairs rejected,REAL,1,bernie sanders call ouster two convention chair reject
Five Reasons the New York Democratic Primary Felt Competitive,REAL,1,five reason new york democratic primary felt competitive
"To get around Congress, Obama turns to city halls",REAL,1,get around congress obama turn city halls
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,FAKE,0,celebrity deathmatch darkmoon sag make final predictions election
John Kerry: ISIS responsible for genocide,REAL,1,john kerry isis responsible genocide
Mitt Romney's Re-Invention As Anti-Poverty Warrior,REAL,1,mitt romney invention anti poverty warrior
King: Fill the Supreme Court vacancy,REAL,1,king fill supreme court vacancy
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",REAL,1,ted cruz toast win president days senate number
Obama’s speech in Selma was an answer to those who question his love for America,REAL,1,obama speech selma answer question love america
Where Does Bernie Sanders Go From Here?,REAL,1,bernie sanders
Exclusive: GOP campaigns plot revolt against RNC,REAL,1,exclusive gop campaign plot revolt rnc
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,FAKE,0,revelation unleash unlock mysteries bible mysterious book
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE,0,silent counter coup intel agencies stop crook clintons video
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL,1,hillary clinton bernie sanders win town hall
French police hunt two brothers accused of Charlie Hebdo terror attack,REAL,1,french police hunt two brothers accuse charlie hebdo terror attack
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE,0,mandela effect make one overlook year old man ascend master video proof
CNN: One voter can make a difference by voting repeatedly,FAKE,0,cnn one voter make difference vote repeatedly
Give Social Security recipients a CEO-style raise,REAL,1,give social security recipients ceo style raise
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL,1,fireworks erupt trump bush rubio cruz gop debate
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL,1,obama sound like critics admit complete strategy iraq
How Ted Cruz Became Ted Cruz,REAL,1,ted cruz become ted cruz
Newly Approved GM Potatoes Have Potential to Silence Human Genes,FAKE,0,newly approve potatoes potential silence human genes
Accord reached after Sanders sues the DNC over suspended access to critical voter list,REAL,1,accord reach sanders sue dnc suspend access critical voter list
Why the latest Patriot Act reform won’t be enough to rein in the NSA,REAL,1,latest patriot act reform win enough rein nsa
"FBI expands probe of Clinton emails, launches independent classification review",REAL,1,fbi expand probe clinton email launch independent classification review
Where is Gary Johnson?,REAL,1,gary johnson
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",FAKE,0,arcturian group marilyn raffaele october 2016 video
Nuclear weapons question,FAKE,0,nuclear weapons question
Kevin MacDonald celebrates Trump’s Amazing Victory,FAKE,0,kevin macdonald celebrate trump amaze victory
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",FAKE,0,amaze aqutru water filter version stock snag 500 units natural news readers deep discount
What happens if Clinton drops out?,REAL,1,happen clinton drop
Brothers ID'd as suicide bombers in Belgium,REAL,1,brothers suicide bombers belgium
Glorifying Violence,FAKE,0,glorify violence
Russia may run out of patience and respond to USA's rudeness,FAKE,0,russia may run patience respond usa rudeness
The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,FAKE,0,david duke show hillary treason trump duke win
Don't blame all immigrants for San Francisco shooting,REAL,1,blame immigrants san francisco shoot
Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,REAL,1,netanyahu win allow israel submerge refugees
APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,FAKE,0,apocalypse trump voters warn revolution clinton win
"Geo-Engineering Unlikely to Work, Conservation Group Says",FAKE,0,geo engineer unlikely work conservation group say
3 Questions Ahead Of Tonight's Democratic Debate,REAL,1,question ahead tonight democratic debate
Obama's terror strategy is failing: US must heed lessons of 9/11,REAL,1,obama terror strategy fail must heed lessons
“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,FAKE,0,bernie need grind pulp leak email john podesta february
Selma 50 years on: John Lewis's recalls the march,REAL,1,selma years john lewis recall march
“We Were Long Overdue A Presidential Assassination Anyway”,FAKE,0,long overdue presidential assassination anyway
"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",FAKE,0,flip flop vox warn serious risk election day violence good kind either
Third-party presidential candidates fight for 15% in polls – and a spot in debates,REAL,1,third party presidential candidates fight poll spot debate
"Bush, Rubio and Kasich eye one another in the shadow of Trump",REAL,1,bush rubio kasich eye one another shadow trump
Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,FAKE,0,comey must explain advise obama publicly accuse russia hack democrats
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",FAKE,0,putin congratulate trump say russia ready restore relations
Monsieur Malbrough est Mort | New Eastern Outlook,FAKE,0,monsieur malbrough est mort new eastern outlook
Conspiracy theories swirl around the death of Antonin Scalia,REAL,1,conspiracy theories swirl around death antonin scalia
"What is one more election thread, ehhh?",FAKE,0,one election thread ehhh
McCain: Trump doesn't understand Syria,REAL,1,mccain trump understand syria
Trump manager says 'undercover voters' will deliver win in US election,REAL,1,trump manager say undercover voters deliver win election
Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,FAKE,0,wikileaks bill clinton different bill cosby podestaemails20
"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",FAKE,0,report megyn trash trump newt murdoch announce replacements available
Suspect captured in ‘ambush-style’ killings of two Iowa cops,FAKE,0,suspect capture ambush style kill two iowa cop
